year,district,unemployed_55_and_older,unemployed_25_to_under_35_years,unemployed_35_to_under_45_years,unemployed_45_to_under_55_years,unemployed_without_vocational_degree,unemployed_with_vocational_degree,unemployed_with_academic_degree,unemployed_without_school_degree,unemployed_with_secondary_school_certificate,unemployed_with_intermediate_maturity,unemployed_with_high_school_diploma
2005,Altstadt-Ring,0,0,0,0,0,0,0,0,0,0,0
2005,Neuburg,0,0,0,0,0,0,0,0,0,0,0
2005,Herdern-Süd,0,0,0,0,0,0,0,0,0,0,0
2005,Herdern-Nord,0,0,0,0,0,0,0,0,0,0,0
2005,Zähringen,0,0,0,0,0,0,0,0,0,0,0
2005,Brühl-Güterbahnhof,0,0,0,0,0,0,0,0,0,0,0
2005,Brühl-Industriegebiet,0,0,0,0,0,0,0,0,0,0,0
2005,Hochdorf,0,0,0,0,0,0,0,0,0,0,0
2005,Waldsee,0,0,0,0,0,0,0,0,0,0,0
2005,Littenweiler,0,0,0,0,0,0,0,0,0,0,0
2005,Ebnet,0,0,0,0,0,0,0,0,0,0,0
2005,Kappel,0,0,0,0,0,0,0,0,0,0,0
2005,Oberau,0,0,0,0,0,0,0,0,0,0,0
2005,Oberwiehre,0,0,0,0,0,0,0,0,0,0,0
2005,Mittelwiehre,0,0,0,0,0,0,0,0,0,0,0
2005,Unterwiehre-Nord,0,0,0,0,0,0,0,0,0,0,0
2005,Unterwiehre-Süd,0,0,0,0,0,0,0,0,0,0,0
2005,Günterstal,0,0,0,0,0,0,0,0,0,0,0
2005,Stühlinger-Beurbarung,0,0,0,0,0,0,0,0,0,0,0
2005,Stühlinger-Eschholz,0,0,0,0,0,0,0,0,0,0,0
2005,Alt-Stühlinger,0,0,0,0,0,0,0,0,0,0,0
2005,Mooswald-West,0,0,0,0,0,0,0,0,0,0,0
2005,Mooswald-Ost,0,0,0,0,0,0,0,0,0,0,0
2005,Betzenhausen-Bischofslinde,0,0,0,0,0,0,0,0,0,0,0
2005,Alt-Betzenhausen,0,0,0,0,0,0,0,0,0,0,0
2005,Landwasser,0,0,0,0,0,0,0,0,0,0,0
2005,Lehen,0,0,0,0,0,0,0,0,0,0,0
2005,Waltershofen,0,0,0,0,0,0,0,0,0,0,0
2005,Mundenhof,0,0,0,0,0,0,0,0,0,0,0
2005,Haslach-Egerten,0,0,0,0,0,0,0,0,0,0,0
2005,Haslach-Gartenstadt,0,0,0,0,0,0,0,0,0,0,0
2005,Haslach-Schildacker,0,0,0,0,0,0,0,0,0,0,0
2005,Haslach-Haid,0,0,0,0,0,0,0,0,0,0,0
2005,St. Georgen-Nord,0,0,0,0,0,0,0,0,0,0,0
2005,St. Georgen-Süd,0,0,0,0,0,0,0,0,0,0,0
2005,Opfingen,0,0,0,0,0,0,0,0,0,0,0
2005,Tiengen,0,0,0,0,0,0,0,0,0,0,0
2005,Munzingen,0,0,0,0,0,0,0,0,0,0,0
2005,Weingarten,0,0,0,0,0,0,0,0,0,0,0
2005,Rieselfeld,0,0,0,0,0,0,0,0,0,0,0
2006,Altstadt-Mitte,0,0,0,0,0,0,0,0,0,0,0
2006,Altstadt-Ring,0,0,0,0,0,0,0,0,0,0,0
2006,Neuburg,0,0,0,0,0,0,0,0,0,0,0
2006,Herdern-Süd,0,0,0,0,0,0,0,0,0,0,0
2006,Herdern-Nord,0,0,0,0,0,0,0,0,0,0,0
2006,Zähringen,0,0,0,0,0,0,0,0,0,0,0
2006,Brühl-Güterbahnhof,0,0,0,0,0,0,0,0,0,0,0
2006,Brühl-Industriegebiet,0,0,0,0,0,0,0,0,0,0,0
2006,Hochdorf,0,0,0,0,0,0,0,0,0,0,0
2006,Waldsee,0,0,0,0,0,0,0,0,0,0,0
2006,Littenweiler,0,0,0,0,0,0,0,0,0,0,0
2006,Ebnet,0,0,0,0,0,0,0,0,0,0,0
2006,Kappel,0,0,0,0,0,0,0,0,0,0,0
2006,Oberau,0,0,0,0,0,0,0,0,0,0,0
2006,Oberwiehre,0,0,0,0,0,0,0,0,0,0,0
2006,Mittelwiehre,0,0,0,0,0,0,0,0,0,0,0
2006,Unterwiehre-Nord,0,0,0,0,0,0,0,0,0,0,0
2006,Unterwiehre-Süd,0,0,0,0,0,0,0,0,0,0,0
2006,Günterstal,0,0,0,0,0,0,0,0,0,0,0
2006,Stühlinger-Beurbarung,0,0,0,0,0,0,0,0,0,0,0
2006,Stühlinger-Eschholz,0,0,0,0,0,0,0,0,0,0,0
2006,Alt-Stühlinger,0,0,0,0,0,0,0,0,0,0,0
2006,Mooswald-West,0,0,0,0,0,0,0,0,0,0,0
2006,Mooswald-Ost,0,0,0,0,0,0,0,0,0,0,0
2006,Betzenhausen-Bischofslinde,0,0,0,0,0,0,0,0,0,0,0
2006,Alt-Betzenhausen,0,0,0,0,0,0,0,0,0,0,0
